****************************************************************************************
Output generated by CrystalDiffract(R) for Windows 6.5.3
Copyright © 1994-2015 CrystalMaker Software Ltd <http://www.crystalmaker.com>

(This file looks best when viewed using a non-proportional font such as Courier New.)
****************************************************************************************

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  2   3   6   0.80195  147.6891  6.62857e-002    0.1%   8    49     1.670
  0   4   4   0.80190  147.7145  8.36445e-001    1.7%   4    32     1.671
  6   0   5   0.80148  147.9237  3.45499e-002    0.1%   4    61     1.683
  4   1   7   0.80026  148.5371  4.42090e+000    8.9%   8    66     1.719
  3   4   2   0.80009  148.6235  5.63974e+000   11.3%   8    29     1.725
  7   1   2   0.79900  149.1831  2.17534e+000    4.4%   8    54     1.759
  1   4   4   0.79460  151.5769  3.16191e+000    6.3%   8    33     1.922
  3   2   7   0.79321  152.3784  5.51130e-001    1.1%   8    62     1.982
  5   3   3   0.79248  152.8143  1.17389e+000    2.4%   8    43     2.017
  7   0   3   0.79184  153.1963  1.87623e+000    3.8%   4    58     2.048
  3   0   8   0.79096  153.7385  4.00506e+000    8.0%   4    73     2.094
  6   1   5   0.78254  159.6905  1.00508e+001   20.2%   8    62     2.751
  0   2   8   0.77965  162.2142  2.03063e-001    0.4%   4    68     3.159
  3   4   3   0.77455  167.9600  2.57455e-001    0.5%   8    34     4.716
  4   3   5   0.77405  168.6822  7.03071e+000   14.1%   8    50     5.022
  2   4   4   0.77384  169.0028  8.26025e-001    1.7%   8    36     5.171
  7   1   3   0.77357  169.4347  2.32889e-001    0.5%   8    59     5.385
  6   2   4   0.77306  170.2893  9.93522e-001    2.0%   8    56     5.865
  1   2   8   0.77294  170.4927  1.19249e+000    2.4%   8    69     5.992
  3   1   8   0.77274  170.8493  4.98167e-002    0.1%   8    74     6.228
  4   4   0   0.77167  173.1166  2.31127e-001    0.5%   4    32     8.299
****************************************************************************************
